province,hospital_th,hospital_en,h_code,affiliation,hospital_type,beds,specialty_note,health_region
อุบลราชธานี,โรงพยาบาลน้ำขุ่น,NAMKHUN HOSPITAL,27968,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10.0,,10
อุบลราชธานี,โรงพยาบาลเหล่าเสือโก้ก,LAOSUEAKOK HOSPITAL,27976,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,มีระบบเครือข่ายด้านสุขภาพที่เข้มแข็งในชุมชน / smart hospital / การเงินการบัญชีเข้มแข็ง,10
บุรีรัมย์,สถานพยาบาลเวชกรรมเรืองโรจน์การแพทย์,,27983,เอกชน,รพ.เอกชน,19.0,,9
ร้อยเอ็ด,โรงพยาบาลทุ่งเขาหลวง,THUNGKHAOLUANG HOSPITAL,27988,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10.0,,7
ชลบุรี,โรงพยาบาลเมืองพัทยา,PATTAYA CITY HOSPITAL,28005,กระทรวงมหาดไทย,กระทรวงมหาดไทย,121.0,,6
ชลบุรี,โรงพยาบาลเกาะจันทร์,KHONCHAN HOSPITAL,28006,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,6
นครราชสีมา,โรงพยาบาลริมลิฟวิ่งโรงพยาบาลทั่วไปขนาดเล็ก,,28008,เอกชน,รพ.เอกชน,0.0,,9
กำแพงเพชร,โรงพยาบาลโกสัมพีนคร,KOSAMPHI NAKHON HOSPITAL,28010,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,3
ศรีสะเกษ,โรงพยาบาลพยุห์,PHAYU HOSPITAL,28014,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,10
ศรีสะเกษ,โรงพยาบาลโพธิ์ศรีสุวรรณ,PHOSISUWAN HOSPITAL,28015,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,1.การบริการระดับทุติยภูมิ เพิ่มศักยภาพเป็น PCC โดยให้บริการในชุมชนอย่างเข้าถึงและครอบคลุม                                                          2.ให้บริการแบบบูรณาการครอบคลุมด้านการรักษา ส่งเสริม ป้องกัน และฟื้นฟูสภาพแบบองค์รวม ทั้งในและนอกโรงพยาบาล                          3.ให้บริการดูแลรักษาด้านจิตเวช และรักษาฟื้นฟูผู้ติดสารเสพติดอย่างครบวงจรตามบริบทของโรงพยาบาล                                                 4.การประสานความร่วมมือกับภาคีเครือข่ายภาครัฐอื่นๆ  รัฐวิสาหกิจ  เอกชน อปท องค์กรอิสระ และภาคประชาชน ในการจัดบริการสุขภาพ<br />,10
ศรีสะเกษ,โรงพยาบาลศิลาลาด,SILALAD HOSPITAL,28016,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10.0,,10
บุรีรัมย์,โรงพยาบาลบ้านด่าน,BANDAN HOSPITAL,28020,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),71.0,,9
สตูล,โรงพยาบาลมะนัง,MANANG HOSPITAL,28786,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10.0,,12
นนทบุรี,สถานพยาบาลเวิลด์ เมดิคอล เซ็นเตอร์,PRANANGKLAO HOSPITAL,28810,เอกชน,รพ.เอกชน,0.0,,4
หนองคาย,โรงพยาบาลเฝ้าไร่,FAO RAI HOSPITAL,28811,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,ให้บริการส่งเสริม ป้องกัน รักษา และฟื้นฟูสุขภาพ และสร้างเสริมการมีส่วนร่วมของชุมชน,8
