province,hospital_th,hospital_en,h_code,affiliation,hospital_type,beds,specialty_note,health_region
ชัยภูมิ,โรงพยาบาลซับใหญ่,SUBYAI HOSPITAL,4007,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),5.0,,9
พระนครศรีอยุธยา,โรงพยาบาลพระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA HOSPITAL,10660,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),524.0,,4
สระบุรี,โรงพยาบาลสระบุรี,SARABURI HOSPITAL,10661,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),700.0,ความเชี่ยวชาญพิเศษ,4
ชลบุรี,โรงพยาบาลชลบุรี,CHONBURI HOSPITAL,10662,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),850.0,,6
ระยอง,โรงพยาบาลระยอง,RAYONG HOSPITAL,10663,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),620.0,การบริการทางการแพทย์ด้านตติยภูมิ การบริการด้านอาชีวเวชศาตร์  และระบบการจัดการภาวะฉุกเฉิน  ,6
จันทบุรี,โรงพยาบาลพระปกเกล้า,PRAPOKKLAO HOSPITAL,10664,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),840.0,,6
ปราจีนบุรี,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,CHAOPHYA ABHAI BHUBEJHR HOSPITAL ,10665,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),500.0,<br />1.	การดูแลผู้ป่วยโรคหัวใจโดยการสวนหัวใจและหลอดเลือด<br />2.	การดูแลโรคหลอดเลือดสมองแบบครบวงจร รวมถึงการการดูแลแบบผสมผสานกับการแพทย์แผนไทย<br />3.	การดูแลโรคระบบทางเดินหายใจที่มีภาวะการหายใจล้มเหลว (Respiratory Failure)<br />4.	การดูแลผู้ป่วยวิกฤตและผู้ป่วยฉุกเฉินแบบครบวงจร<br />5.	การดูแลทารกแรกเกิดที่มีน้ำหนักน้อยและมีภาวะแทรกซ้อน<br />6.	การดูแลผู้ป่วยโดยใช้การแพทย์แผนไทย สมุนไพร และการแพทย์ผสมผสาน<br />7.	การดูแลผู้ป่วยผ่าตัดแบบวันเดียวกลับ (One Day Surgery : ODS) และ minimal invasive surgery (MIS),6
นครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา,MAHARAT NAKHON RATCHASIMA HOSPITAL,10666,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1300.0,,9
บุรีรัมย์,โรงพยาบาลบุรีรัมย์,BURIRAM HOSPITAL,10667,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),887.0,,9
สุรินทร์,โรงพยาบาลสุรินทร์,SURIN HOPITAL,10668,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),914.0,ให้บริการ Excellence Center 5 สาขา ได้แก่ สาขาอุบัติเหตุและฉุกเฉิน สาขาโรคมะเร็ง สาขาหัวใจ สาขาทารกแรกเกิด สาขาปลูกถ่ายอวัยวะ,9
อุบลราชธานี,โรงพยาบาลสรรพสิทธิประสงค์,SUNPASITTHIPRASONG HOSPITAL,10669,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1300.0,,10
ขอนแก่น,โรงพยาบาลขอนแก่น,KHONKAEN HOSPITAL,10670,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1000.0,,7
อุดรธานี,โรงพยาบาลอุดรธานี,UDONTHANI HOSPITAL,10671,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1134.0,"1. excellent center : cardiac, trauma, cancer, newborn, transplant<br />2. surgery : cardiac and thoracic surgery, spine surgery, neuro surgery, minimal invasive surgery, laparoscopic surgery, burn unit<br />3. rehabilitation : กายอุปกรณ์",8
ลำปาง,โรงพยาบาลลำปาง,LAMPANG HOSPITAL,10672,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),810.0,การให้บริการทางการแพทย์ระดับทุติยภูมิ ตติยภูมิระดับกลาง ความสัมพัน์กับภาคีเครือข่ายแข้มแข็ง,1
อุตรดิตถ์,โรงพยาบาลอุตรดิตถ์,UTTARADIT HOSPITAL,10673,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),655.0,,2
เชียงราย,โรงพยาบาลเชียงรายประชานุเคราะห์,CHIANGRAI PRACHANUKROH HOSPITAL,10674,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),758.0,- โรงพยาบาลตติยภูมิ ระดับ A ให้บริการ ส่งเสริม ป้องกัน รักษา ฟื้นฟูสภาพผู้ป่วยทุกสาขา ในโรงพยาบาลและหน่วยบริการปฐมภูมิ (PCU)<br />- ดูแลรักษาผู้ป่วยที่ส่งต่อมาจากโรงพยาบาลในเขตสุขภาพล้านนา 3 (เชียงราย–พะเยา) อำเภอฝาง อำเภอไชยปราการ และอำเภอแม่อาย จังหวัดเชียงใหม่ <br />- เป็นสถาบันผลิตแพทย์ระดับปริญญาในโครงการผลิตแพทย์เพื่อชาวชนบท (Undergraduate)/ สถาบันหลัก/สมทบในการฝึกอบรมแพทย์ประจำบ้านของแพทยสภา (Postgraduate) สถานฝึกปฏิบัติงานของนักศึกษาพยาบาล  และนักศึกษาสาขาต่างๆ,1
นครสวรรค์,โรงพยาบาลสวรรค์ประชารักษ์,SAWANPRACHARAK HOSPITAL,10675,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),700.0,• มีสมรรถนะในด้านบริการระดับตติยภูมิครอบคลุมทุกสาขา และความเชี่ยวชาญระดับสูง 5สาขา ได้แก่ สาขาอุบัติเหตุ สาขามะเร็ง สาขาหัวใจ สาขาทารกแรกเกิด และสาขารับบริจาคและปลูกถ่ายอวัยวะของเขตสุขภาพที่ 3<br />• มีความเชี่ยวชาญในการผ่าตัดและรักษาโรคแบบ Minimal Invasive surgery <br />• มีสมรรถนะด้านการบริหารจัดการและพัฒนาระบบบริการปฐมภูมิเชื่อมโยงกับระดับทุติยภูมิตติยภูมิในเครือข่ายบริการโดยเฉพาะการดูแลโรคไม่ติดต่อเรื้อรัง(NCD) แบบองค์รวม<br />• มีสมรรถนะด้านการศึกษาวิจัย การเรียนรู้ สร้างนวัตกรรม ทางด้านสาธารณสุข และถ่ายทอดองค์ความรู้ด้านการส่งเสริมสุขภาพ ควบคุมป้องกันโรค รักษาพยาบาล และฟื้นฟูสภาพ แก่บุคลากรทางการแพทย์สาธารณสุขและประชาชน<br />• มีสมรรถนะด้านการเรียนการสอนโดยเป็นสถาบันฝึกอบรมแพทย์ประจำบ้าน ผลิตบัณฑิตแพทย์และบุคลากรสาธารณสุขหลายสาขา    ,3
พิษณุโลก,โรงพยาบาลพุทธชินราช พิษณุโลก,BUDDHACHINARAJ  PHITSANULOK  HOSPITAL,10676,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1179.0,ศูนย์เชี่ยวชาญและเชี่ยวชาญระดับสูง และเป็นศูนย์ฝึกอบรมบุคลากรทางการแพทย์,2
ราชบุรี,โรงพยาบาลราชบุรี,RATCHABURI HOSPITAL,10677,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),855.0,,5
สุพรรณบุรี,โรงพยาบาลเจ้าพระยายมราช,CHAOPHRAYA YOMMARAT HOSPITAL,10678,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),706.0,1. มีความสามารถให้บริการตติยภูมิระดับสูงทุกสาขา โดยเฉพาะในสาขาหัวใจ ทารกแรกเกิด      การบาดเจ็บและภาวะฉุกเฉิน มะเร็ง Stroke Sepsis ผ่าตัดส่องกล้อง และทันตกรรม และการดูแลรักษาผู้ป่วยโควิด19 ที่มีอาการรุนแรง<br />2. มีความสามารถจัดบริการสุขภาพปฐมภูมิตามหลักเวชศาสตร์ครอบครัวที่เชื่อมโยง<br />บริการระดับทุติยภูมิและตติยภูมิอย่างเป็นรูปธรรม	<br />3. มีความสามารถด้านการจัดการเรียนการสอนในการร่วมผลิตแพทย์และฝึกอบรมบุคลากรทางการแพทย์เป็นเลิศ <br />,5
นครปฐม,โรงพยาบาลนครปฐม,NAKHONPATHOM HOSPITAL,10679,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),860.0,1. ทีมนำองค์กรมีวิสัยทัศน์ชัดเจน และบุคลากรมีค่านิยมร่วมกัน<br />2. ศูนย์บริการทางการแพทย์เฉพาะทาง (Excellent Center of Cardio and Vascular Intervention)<br />3. โรงพยาบาลรัฐระดับตติยภูมิในเขตปริมณฑลที่บุคลากรทางการแพทย์มีทักษะและความเชี่ยวชาญ<br />4. สถาบันฝึกอบรมและถ่ายทอดความรู้ด้านวิทยาศาสตร์สุขภาพ มุ่งเน้นการพัฒนาบุคลากรทางวิชาการงานวิจัยและนวตกรรม,5
นครศรีธรรมราช,โรงพยาบาลมหาราชนครศรีธรรมราช,MAHARAJ NAKHON SI THAMMARAT HOSPITAL,10680,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),756.0,1.เป็นศูนย์ความเชี่ยวชาญ สาขาอุบัติเหตุ สาขาทารกแรกเกิด สาขาโรคหัวใจและหลอดเลือด  สาขามะเร็ง <br />2.บริการระดับตติยภูมิ ครอบคลุมทุกสาขาโรคหลัก <br />3.เป็นศูนย์แพทยศาสตรศึกษาชั้นคลินิก และเป็นสถาบันฝึกอบรมบุคลากรทางการแพทย์<br />,11
สุราษฎร์ธานี,โรงพยาบาลสุราษฎร์ธานี,SURATTHANI HOSPITAL,10681,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),811.0,,11
สงขลา,โรงพยาบาลหาดใหญ่,HATYAI HOSPITAL,10682,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),759.0,,12
ตรัง,โรงพยาบาลตรัง,TRANG  HOSPITAL,10683,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),553.0,"การให้บริการด้านตติยภูมิด้านอุบัติเหตุ โรคหัวใจ(PCI,CABG) มะเร็ง(CA Colon, CA breast, Head and neck cancer, ศูนย์เคมีบำบัด) และ Newborn(NICU,UNHS, referral centre for neuro-otology) รังสีร่วมรักษา(Neuro-intervention) การผ่าตัดกระดูกสันหลัง(spine orthopedist and spine neurosurgeom) การฟอกไต การตรวจการนอนหลับ การผ่าตัดฝังประสาทหูเทียม อายุรศาสตร์โลหิตวิทยา ศัลยกรรมตกแต่ง การดูแลผู้ป่วยไฟไหม้ เวชบำบัดวิกฤต จิตเวชเด็กและวัยรุ่น",12
ยะลา,โรงพยาบาลยะลา,YALA HOSPITAL,10684,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),458.0,,12
สมุทรปราการ,โรงพยาบาลสมุทรปราการ,SAMUTPRAKAN HOSPITAL,10685,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),600.0,,6
นนทบุรี,โรงพยาบาลพระนั่งเกล้า,PRANANGKLAO HOSPITAL,10686,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),620.0,,4
ปทุมธานี,โรงพยาบาลปทุมธานี,PATHUMTHANI HOSPITAL,10687,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),377.0,,4
พระนครศรีอยุธยา,โรงพยาบาลเสนา,SENA HOSPITAL,10688,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),208.0,"มีแพทย์ Neuro med, ศัลยกรรมกระดูกและข้อ จบ Fellow ด้าน เข่า, Spine และ Sport<br />บริการสาขารอง ได้แก่ จักษุ (มีแพทย์เฉพาะทางผ่าตัด Glaucoma) หูคอจมูก  แพทย์ทางเลือก (แผนไทย,แผนจีน) มีเครื่องไตเทียม และเครื่อง CT Scan (ระบบเช่า) มีสัมพันธภาพที่ดีกับชุมชน<br />LAB: ตรวจ PCR ได้เอง (เปิดให้บริการ กย.64)",4
อ่างทอง,โรงพยาบาลอ่างทอง,ANGTHONG HOSPITAL,10689,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),324.0,,4
ลพบุรี,โรงพยาบาลพระนารายณ์มหาราช,KING NARAI HOSPITAL,10690,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),548.0,,4
ลพบุรี,โรงพยาบาลบ้านหมี่,BANMI HOSPITAL,10691,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),258.0,,4
สิงห์บุรี,โรงพยาบาลสิงห์บุรี,SINGBURI HOSPITAL,10692,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),282.0,"การดูแลผู้ป่วยไตวายเรื้อรัง, การดูแลผู้ป่วยโรคหลอดเลือดสมอง(stroke)",4
สิงห์บุรี,โรงพยาบาลอินทร์บุรี,INBURI HOSPITAL,10693,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),180.0,,4
ชัยนาท,โรงพยาบาลชัยนาทนเรนทร,JAINADNARENDRA HOSPITAL,10694,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),353.0,,3
สระบุรี,โรงพยาบาลพระพุทธบาท,PHRAPHUTTHABAT HOSPITAL,10695,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),315.0,-,4
ตราด,โรงพยาบาลตราด,TRAT HOSPITAL,10696,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),358.0,,6
ฉะเชิงเทรา,โรงพยาบาลพุทธโสธร,BUDDHASOTHORN HOSPITAL,10697,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),585.0,,6
นครนายก,โรงพยาบาลนครนายก,NAKHON NAYOK HOSPITAL,10698,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),314.0,test,4
สระแก้ว,โรงพยาบาลสมเด็จพระยุพราชสระแก้ว,SAKAEO CROWN PRINCE HOSPITAL,10699,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),408.0,1. มีสมรรถนะในการให้บริการดูแลผู้ป่วยโรคเรื้อรังโดยทีมสหสาขาวิชาชีพและภาคีเครือข่าย<br />2. มีสมรรถนะในการให้บริการระดับปฐมภูมิที่เชื่อมโยงจากโรงพยาบาลสู่ชุมชน มีสัมพันธภาพที่ดีกับชุมชนและภาคีเครือข่าย<br />3. มีสมรรถนะในการดูแลผู้ป่วยเฉพาะทางในการดูแลผู้ป่วยซับซ้อนระดับตติยภูมิตามมาตรฐาน รพ.ระดับ S (Standard level)และมีเครื่องมือชั้นสูงในการตรวจวินิจฉัย และรักษา<br />4. มีสมรรถนะในการบริหารจัดการระบบการเฝ้าระวัง ป้องกันและควบคุมโรค<br />5. มีสมรรถนะการใช้เทคโนโลยีสารสนเทศและการสื่อสาร (Digital Literacy) ,6
ศรีสะเกษ,โรงพยาบาลศรีสะเกษ,SISAKET HOSPITAL,10700,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),974.0,,10
ยโสธร,โรงพยาบาลยโสธร,YASOTHON  HOSPITAL,10701,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),422.0,,10
ชัยภูมิ,โรงพยาบาลชัยภูมิ,CHAIYAPHUM HOSPITAL,10702,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),736.0,,9
อำนาจเจริญ,โรงพยาบาลอำนาจเจริญ,AMNATCHAROEN HOSPITAL,10703,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),406.0,"ระบบเครือข่ายการบริการผู้ป่วยแบบองค์รวมโรค Stroke , STEMI, โรคกระดูกและข้อ โดยเฉพาะในกลุ่มผู้สูงอายุ",10
หนองบัวลำภู,โรงพยาบาลหนองบัวลำภู,NONGBUALAMPHU HOSPITAL,10704,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),353.0,,8
เลย,โรงพยาบาลเลย,LOEI HOSPITAL,10705,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),473.0,,8
หนองคาย,โรงพยาบาลหนองคาย,NONGKHAI HOSPITAL,10706,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),429.0,,8
มหาสารคาม,โรงพยาบาลมหาสารคาม,MAHASARAKHAM HOSPITAL,10707,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),580.0,,7
ร้อยเอ็ด,โรงพยาบาลร้อยเอ็ด,ROI ET HOSPITAL,10708,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),988.0,1. มีความสามารถด้านการรักษามะเร็งแบบบูรณาการ <br />2. มีความสามารถด้านการรักษาผู้ป่วยอุบัติเหตุทางสมอง,7
กาฬสินธุ์,โรงพยาบาลกาฬสินธุ์,KALASIN HOSPITAL,10709,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),562.0,1.ระดับความเป็นเลิศทางการแพทย์สาขาการบาดเจ็บและการแพทย์ฉุกเฉิน (Trauma)ระดับ 2,7
สกลนคร,โรงพยาบาลสกลนคร,SAKONNAKHON HOSPITAL,10710,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),981.0,,8
นครพนม,โรงพยาบาลนครพนม,NAKHONPHANOM HOSPITAL,10711,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),405.0,ทดสอบ,8
มุกดาหาร,โรงพยาบาลมุกดาหาร,MUKDAHAN HOSPITAL,10712,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),301.0,,10
เชียงใหม่,โรงพยาบาลนครพิงค์,NAKORNPING HOSPITAL,10713,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),665.0,,1
ลำพูน,โรงพยาบาลลำพูน,LAMPHUN HOSPITAL,10714,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),411.0,,1
แพร่,โรงพยาบาลแพร่,PHRAE HOSPITAL,10715,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),502.0,,1
น่าน,โรงพยาบาลน่าน,NAN HOSPITAL,10716,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),475.0,,1
พะเยา,โรงพยาบาลพะเยา,PHAYAO HOSPITAL,10717,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),373.0,Glaucoma clinic<br />ผ่าตัดปะแก้วหู ผ่าตัดริดสีดวงจมูกโดยวิธีการส่องกล้อง<br />พัฒนาการและการเติบโตสมวัย<br />ทันตกรรมอนุสาขาศัลยกรรมช่องปากและแม็กซิลโลเฟเชียล,1
พะเยา,โรงพยาบาลเชียงคำ,CHIANGKHAM HOSPITAL,10718,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),231.0,ให้บริการสุขภาพระดับทุติยภูมิและตติยภูมิ โดยทีมสหสาขาวิชาชีพด้วยความปลอดภัยและเอื้ออาทร,1
แม่ฮ่องสอน,โรงพยาบาลศรีสังวาลย์,SRISANGWAN HOSPITAL,10719,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),157.0,,1
อุทัยธานี,โรงพยาบาลอุทัยธานี,UTHAI THANI HOSPITAL,10720,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),350.0,1. มีสมรรถนะในการให้บริการระดับปฐมภูมิที่เชื่อมโยงจากโรงพยาบาลสู่ชุมชน มีสัมพันธภาพที่ดีกับชุมชนและภาคีเครือข่าย<br />2. มีสมรรถนะในการดูแลผู้ป่วยเฉพาะทางในการดูแลผู้ป่วยซับซ้อนระดับตติยภูมิตามมาตรฐาน รพ.ระดับ S (Standard level)และมีเครื่องมือชั้นสูงในการตรวจวินิจฉัย และรักษา<br />3. มีสมรรถนะการบริหารจัดการองค์กรที่มีประสิทธิภาพ  และมีธรรมมาภิบาล<br />4. มีสมรรถนะในการสร้างการแลกเปลี่ยนเรียนรู้ ด้านวิชาการ และการใช้เทคโนโลยีในการบริการสุขภาพแก่บุคลากรภายในองค์กร  และเครือข่าย รวมถึงการเป็นแหล่งฝึกของแพทย์จบใหม่,3
กำแพงเพชร,โรงพยาบาลกำแพงเพชร,KAMPHAENGPHET HOSPITAL,10721,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),465.0,,3
ตาก,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,SOMDEJPRAJAOTAKSINMAHARAJ HOSPITAL,10722,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),377.0,"การดูแลผู้ป่วยภาวะวิกฤตและฉุกเฉิน ,การดูแลต่อเนื่องตั้งแต่ pre-hospital ถึงชุมชน",2
ตาก,โรงพยาบาลแม่สอด,MAESOT GENERAL HOSPITAL,10723,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),420.0,ความสามารถของการบริการทางด้านการแพทย์และสาธารณสุขชายแดน สร้างความร่วมมือระหว่างประเทศ,2
สุโขทัย,โรงพยาบาลสุโขทัย,SUKHOTHAI HOSPITAL,10724,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),320.0,ความเชี่ยวชาญพิเศษ,2
สุโขทัย,โรงพยาบาลศรีสังวรสุโขทัย,SRISANGWORNSUKHOTHAI HOSPITAL,10725,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),307.0,,2
พิจิตร,โรงพยาบาลพิจิตร,PHICHIT HOSPITAL,10726,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),450.0,เป็น Model Non-communicable Diseases (NCD) และสาขาทารกแรกเกิด (New born) Level 2,3
เพชรบูรณ์,โรงพยาบาลเพชรบูรณ์,PHETCHABUN HOSPITAL,10727,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),543.0,,2
ราชบุรี,โรงพยาบาลดำเนินสะดวก,DAMNOEN SADUAK HOSPITAL,10728,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),272.0,การส่งเสริม ป้องกันรักษา ฟื้นฟู โรคสำคัญทุกสาขาหลัก ได้แก่ DM HT STEMI Sepsis Stroke CKD Preterm การดูแลทารกวิกฤติ DHF ความปลอดภัยจากการคลอด Head injury Truama มะเร็ง Cataract Glaucoma โรคกระดูกและข้อ,5
ราชบุรี,โรงพยาบาลบ้านโป่ง,BANPONG HOSPITAL,10729,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),360.0,ความเชี่ยวชาญพิเศษ,5
ราชบุรี,โรงพยาบาลโพธาราม,PHOTHARAM HOSPITAL,10730,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),340.0,,5
กาญจนบุรี,โรงพยาบาลพหลพลพยุหเสนา,PHAHOLPOLPAYUHASAENA HOSPITAL,10731,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),631.0,  1. มีความสามารถในการให้บริการครอบคลุมทุกสาขา ทั้งระดับ ปฐมภูมิ ทุติยภูมิและตติยภูมิ ระดับ S-A (สาขาหลัก สาขารอง)<br />  2. มีความสามารถในการให้บริการศูนย์การแพทย์เชี่ยวชาญ 4 สาขา ได้แก่ 1.อุบัติเหตุ 2.มะเร็ง 3.หัวใจ 4.ทารากแรกเกิด <br />  3. มีความสามารถในการจัดบริการแบบ ODS/MIS<br />  4. มีความสามารถในการดูและผู้ป่วยวิกฤตและฉุกเฉิน,5
กาญจนบุรี,โรงพยาบาลมะการักษ์,MAKARAK HOSPITAL,10732,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),264.0,,5
สุพรรณบุรี,โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ 17,SOMDEJPRASANGKHARACH XVII HOSPITAL,10733,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),262.0,,5
สมุทรสาคร,โรงพยาบาลสมุทรสาคร,SAMUTSAKHON HOSPITAL,10734,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),602.0,,5
สมุทรสงคราม,โรงพยาบาลสมเด็จพระพุทธเลิศหล้า,SOMDETPHRAPHUTTHALOETLA HOSPITAL,10735,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),284.0,การดูแลรักษาผู้ป่วยในระดับตติยภูมิ   ความสามารถในการบริหารจัดการทรัพยากรและภาคีเครือข่ายที่มีประสิทธิภาพ,5
เพชรบุรี,โรงพยาบาลพระจอมเกล้า,PHRA CHOM KLAO HOSPITAL,10736,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),447.0,,5
ประจวบคีรีขันธ์,โรงพยาบาลประจวบคีรีขันธ์,PRACHUAP KHIRIKHAN HOSPITAL,10737,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),246.0,ทดสอบ,5
